Series ID,Year,Period,Label,Value
CXUTOTALEXPLB0201M,2001,A01,2001 Annual,39518
CXUTOTALEXPLB0201M,2002,A01,2002 Annual,40677
CXUTOTALEXPLB0201M,2003,A01,2003 Annual,40817
CXUTOTALEXPLB0201M,2004,A01,2004 Annual,43395
CXUTOTALEXPLB0201M,2005,A01,2005 Annual,46409
CXUTOTALEXPLB0201M,2006,A01,2006 Annual,48398
CXUTOTALEXPLB0201M,2007,A01,2007 Annual,49638
CXUTOTALEXPLB0201M,2008,A01,2008 Annual,50486
CXUTOTALEXPLB0201M,2009,A01,2009 Annual,49067
CXUTOTALEXPLB0201M,2010,A01,2010 Annual,48109
CXUTOTALEXPLB0201M,2011,A01,2011 Annual,49705
CXUTOTALEXPLB0201M,2012,A01,2012 Annual,51442
CXUTOTALEXPLB0201M,2013,A01,2013 Annual,51100
CXUTOTALEXPLB0201M,2014,A01,2014 Annual,53495
CXUTOTALEXPLB0201M,2015,A01,2015 Annual,55978
CXUTOTALEXPLB0201M,2016,A01,2016 Annual,57311
CXUTOTALEXPLB0201M,2017,A01,2017 Annual,60060
CXUTOTALEXPLB0201M,2018,A01,2018 Annual,61224
CXUTOTALEXPLB0201M,2019,A01,2019 Annual,63036
CXUTOTALEXPLB0201M,2020,A01,2020 Annual,61332
CXUTOTALEXPLB0201M,2021,A01,2021 Annual,66928
CXUTOTALEXPLB0201M,2022,A01,2022 Annual,72967
CXUTOTALEXPLB0201M,2023,A01,2023 Annual,77280
