"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income, Tax Year 2022 (Filing Year 2023)",,,,,,,,,,,,,,,,,,,,,,,,,,,
(All figures are estimates based on samples—money amounts are in thousands of dollars except as indicated),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Size and accumulated size
of adjusted gross income",All returns,,,,,Taxable returns,,,,,,,,,,,,,,,,,,,,,
,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,Taxable income,,,Income tax after credits,,,Total income tax,,,,,,,,,,,
,,,,,,,,,,"Number of
returns",Amount,"Percent of
total","Number of
returns",Amount,"Percent of
total",Amount,Percent of,,,"Average
total income 
tax (dollars)",,,,,,,
,,,Amount,"Percent
of total","Average
(dollars)",,,Amount,"Percent
of total",,,,,,,,Total,"Taxable
income","Adjusted gross
income less deficit",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),,,,,,,
Size of adjusted gross income,,,,,,,,,,,,,,,,,,,,,,,,,,,
All returns,"161,336,659",100.0,"14,833,956,956",100.0,"91,944","110,640,128",100.0,"14,014,009,625",100.0,"110,627,792","11,404,334,633",100.0,"110,611,880","2,098,923,017",100.0,"2,139,922,072",100.0,18.8,15.3,"19,341",,,,,,,
No adjusted gross income,"3,254,225",2.0,"-164,160,281",[1],"-50,445","3,843",[2],"-9,734,295",[1],0,0,0.0,"3,843","128,418",[2],"128,418",[2],[1],[1],"33,416",,,,,,,
"$1 under $5,000","8,195,783",5.1,"19,538,869",0.1,"2,384","105,475",0.1,"331,665",[2],"101,922","150,163",[2],"105,475","18,734",[2],"18,735",[2],12.5,5.6,178,,,,,,,
"$5,000 under $10,000","8,747,727",5.4,"66,070,756",0.4,"7,553","119,109",0.1,"878,182",[2],"119,102","404,709",[2],"119,109","41,423",[2],"41,423",[2],10.2,4.7,348,,,,,,,
"$10,000 under $15,000","9,642,322",6.0,"120,502,825",0.8,"12,497","1,370,355",1.2,"19,112,665",0.1,"1,370,206","1,851,999",[2],"1,370,355","188,178",[2],"188,178",[2],10.2,1.0,137,,,,,,,
"$15,000 under $20,000","9,058,382",5.6,"157,738,693",1.1,"17,414","4,429,445",4.0,"77,383,332",0.6,"4,429,434","18,548,012",0.2,"4,429,442","1,735,910",0.1,"1,736,237",0.1,9.4,2.2,392,,,,,,,
"$20,000 under $25,000","8,035,277",5.0,"180,311,082",1.2,"22,440","4,393,888",4.0,"98,787,235",0.7,"4,392,825","39,939,199",0.4,"4,393,888","3,804,019",0.2,"3,804,019",0.2,9.5,3.9,866,,,,,,,
"$25,000 under $30,000","8,005,289",5.0,"219,958,083",1.5,"27,477","4,801,988",4.3,"132,247,818",0.9,"4,801,879","64,167,268",0.6,"4,801,988","6,376,403",0.3,"6,376,403",0.3,9.9,4.8,"1,328",,,,,,,
