Rank,State,Index,Grocery,Housing,Utilities,Transportation,Health ,Misc.
1,Oklahoma ,86,95.3,70.7,95.4,89.6,94,90.2
2,Mississippi ,87.3,96.3,72.8,88.9,89.2,96.8,93
3,West Virginia ,88.3,96.7,71.5,93.2,96.6,93.4,94.5
4,Alabama ,88.6,97.7,70.8,99.6,91.1,91,95.6
5,Kansas ,88.8,95.5,76.1,98.9,91.3,96.3,92.2
6,Missouri ,89,96.5,78.6,96.1,88.4,94.3,91.8
7,Arkansas ,89.6,95.3,76.8,92.2,91,85.4,97.1
8,Iowa ,89.7,96.1,75.9,91.2,97.7,95.3,95.2
9,Michigan ,90.1,98.5,74,98.3,100.4,89.5,95
10,Tennessee ,90.3,96.9,82.8,87.4,88.9,86.9,95.2
11,Indiana ,91,97.8,76.8,92.6,100.8,96.7,96
12,North Dakota ,91.4,95.9,78.9,82.1,99.4,108.3,97.7
13,South Dakota ,91.9,98.2,87.7,85.1,94.7,101.4,92.2
14,Texas ,92.1,95.9,80.8,104.1,92.8,96.1,96.1
15,Louisiana ,92.3,96.3,82.6,80.9,96.2,95.5,99.9
16,Kentucky ,92.5,99.8,77,85.1,96.5,99,101.8
17,Georgia ,92.5,97.9,79.7,101,99.8,98.8,95.8
18,Nebraska ,92.6,99.2,79.4,88.7,95.7,98.3,100.1
19,New Mexico ,93.7,97,88.3,83.5,91.4,105.3,98.1
20,Wyoming ,93.7,99.6,84.6,93.5,91.5,101.1,98.2
21,Ohio ,94.3,99.4,86.6,97.6,97.7,95.4,96.7
22,Minnesota ,94.6,101.5,80.9,96.1,95.4,103.9,100.9
23,South Carolina ,94.7,99.2,85.3,97.7,95.5,93.1,99.7
24,Illinois ,94.7,98.6,84.1,99.1,103.5,100.2,97.7
25,Montana ,95.5,102.6,90.2,81.5,102,104.9,97.1
26,Pennsylvania ,97.2,98,87.6,107.4,102.4,91.6,101.7
27,Wisconsin ,97.7,98.4,95,89.7,99.4,105.5,100
28,North Carolina ,97.8,99.2,93.7,96,92.9,105.1,101.1
29,Idaho ,99.9,101.5,99.9,75.1,109.1,105.6,102.2
30,Nevada,100.2,102.9,109.5,94.1,116.9,86.4,90.6
31,Virginia ,100.8,99.2,104.1,99.1,95,107.2,99.7
32,Delaware ,101.9,101.6,98.3,98.8,101.2,104,105.6
33,Utah ,102.2,97.7,114,89.4,106,88.9,98.4
34,Florida ,102.2,105.1,106,99,100.1,95.1,100.2
35,Puerto Rico ,102.5,110.6,99.7,162.1,96.1,69.9,92.8
36,Colorado ,102.7,101.2,108.7,88.7,96,104.9,103.1
37,Rhode Island ,110.6,101,113.5,136.4,96.4,101.7,110.9
38,Arizona ,110.7,102.4,128.2,106.3,103.7,93.8,105
39,New Hampshire ,111.4,99.8,117.7,117.3,102.9,106.4,112.9
40,Oregon ,111.8,105.7,131.5,92.6,116.1,114.9,101.5
41,Connecticut ,112.7,102.2,120,136.4,103.5,111.4,108.2
42,Maine ,113,101.3,133.8,115.2,104.8,115.4,102.4
43,Vermont ,113.6,105.3,129.9,113.3,97.8,112.9,108.2
44,Washington ,114.1,106.2,125.7,95.2,121.7,115.4,110.5
45,New Jersey ,115.1,103.9,141.2,101.5,103.1,109.3,105.6
46,Maryland ,115.4,105.8,135.8,113,101.1,105.3,108.6
47,Alaska ,124.9,127.2,119.7,156.8,117.1,144.8,119.8
48,New York ,125.1,104.4,174.6,100.1,106.4,110.2,106.4
49,District of Columbia ,138.8,105.3,212.2,101.3,106.7,121,112.9
50,Massachusetts ,141.2,105.5,196.2,153.2,105.4,122.2,120.7
51,California ,142.3,109.8,200.1,142,135.9,106.5,115.7
52,Hawaii ,185,133.5,304.2,204.4,136.5,123.4,125.9
,,,,,,,,
**,U.S.,100,100,100,100,100,100,100
