,area,area_title,occ_code,occ_title,o_group,tot_emp_20,jobs_1000_20,h_mean_20,a_mean_20,tot_emp_21,jobs_1000_21,h_mean_21,a_mean_21,tot_emp_22,jobs_1000_22,h_mean_22,a_mean_22,tot_emp_23,jobs_1000_23,h_mean_23,a_mean_23,tot_emp_24,jobs_1000_24,h_mean_24,a_mean_24
0,1.0,Alabama,15-1211,Computer Systems Analysts,detailed,4900.0,2.574,44.97,93530.0,4360.0,2.261,49.56,103080.0,4880.0,2.436,52.43,109060.0,5950.0,2.897,52.18,108520.0,6830.0,3.268,54.06,112430.0
1,1.0,Alabama,15-1221,Computer and Information Research Scientists,detailed,380.0,0.201,60.84,126550.0,210.0,0.108,56.92,118390.0,,,48.65,101190.0,480.0,0.235,50.66,105360.0,540.0,0.258,52.41,109020.0
2,1.0,Alabama,15-1242,Database Administrators,detailed,,,,,2210.0,1.149,39.78,82730.0,1740.0,0.868,41.87,87090.0,1550.0,0.756,43.03,89510.0,1990.0,0.953,44.68,92930.0
3,1.0,Alabama,15-1243,Database Architects,detailed,,,,,360.0,0.186,59.5,123770.0,310.0,0.156,57.5,119590.0,310.0,0.149,55.0,114400.0,310.0,0.147,56.5,117510.0
4,1.0,Alabama,15-2031,Operations Research Analysts,detailed,560.0,0.292,49.09,102100.0,550.0,0.285,50.53,105110.0,510.0,0.257,52.48,109160.0,570.0,0.28,54.04,112400.0,500.0,0.241,56.91,118370.0
5,1.0,Alabama,15-2041,Statisticians,detailed,210.0,0.11,31.73,65990.0,180.0,0.092,32.93,68500.0,180.0,0.09,36.17,75230.0,210.0,0.104,37.16,77300.0,200.0,0.095,36.96,76870.0
6,1.0,Alabama,15-2051,Data Scientists,detailed,,,,,520.0,0.271,40.61,84470.0,,,44.03,91570.0,1120.0,0.547,47.61,99040.0,1620.0,0.773,49.51,102970.0
7,1.0,Alabama,15-2099,"Mathematical Science Occupations, All Other",detailed,,,,,,,20.52,42690.0,40.0,0.018,23.79,49470.0,30.0,0.015,22.38,46540.0,,,,
8,2.0,Alaska,15-1211,Computer Systems Analysts,detailed,440.0,1.473,41.79,86930.0,270.0,0.926,45.73,95120.0,370.0,1.201,46.68,97090.0,430.0,1.382,42.41,88210.0,490.0,1.524,44.13,91780.0
9,2.0,Alaska,15-1242,Database Administrators,detailed,,,,,110.0,0.386,44.36,92280.0,110.0,0.347,44.25,92040.0,90.0,0.292,43.45,90370.0,90.0,0.268,46.44,96600.0
