U.Value Added by Industry
U.Value Added by Industry
"Last Revised on: September 25, 2025"
Line,,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,,
1,"        Gross domestic product",19612.1,20656.5,21540.0,21375.3,23725.6,26054.6,27811.5,29298.0
2,Private industries,17156.3,18097.8,18909.8,18664.0,20917.7,23128.9,24712.8,26001.7
3,"    Agriculture, forestry, fishing, and hunting",176.8,177.1,164.2,164.4,230.7,294.0,270.4,269.7
4,"        Farms",138.7,136.8,122.6,120.5,185.7,247.1,218.2,215.8
5,"            Crop production",73.2,70.9,57.6,52.4,101.6,131.2,118.5,101.9
6,"            Animal production and aquaculture",65.6,65.9,65.0,68.1,84.1,115.8,99.7,113.9
7,"        Forestry, fishing, and related activities",38.1,40.3,41.6,43.9,45.0,47.0,52.2,53.9
8,"    Mining",267.3,313.5,294.0,202.8,336.1,466.9,411.8,404.2
9,"        Oil and gas extraction",161.1,189.2,172.8,104.0,225.0,329.1,259.9,252.6
10,"        Mining, except oil and gas",52.3,52.5,53.1,57.3,68.2,75.4,79.8,80.8
11,"        Support activities for mining",53.9,71.8,68.1,41.5,42.9,62.5,72.1,70.8
12,"    Utilities",313.7,320.4,331.6,345.8,392.9,440.8,457.8,454.4
13,"        Electric power generation, transmission, and distribution",258.5,263.3,271.6,282.1,321.5,357.5,368.9,363.3
14,"        Natural gas distribution and water, sewage and other systems",55.3,57.0,60.0,63.7,71.4,83.3,88.8,91.1
15,"    Construction",840.2,889.1,953.0,958.7,1012.1,1112.4,1224.6,1305.4
16,"        Education, hospital, and health structures",82.9,88.1,94.8,94.5,89.2,98.3,114.7,125.1
17,"        Maintenance and repair construction",146.6,148.7,156.6,152.6,161.5,179.7,186.1,190.7
18,"        Office and commercial structures",81.2,86.9,94.4,95.8,94.5,112.6,127.5,120.6
19,"        Other residential construction",150.2,158.6,172.2,184.0,200.0,211.8,230.4,244.0
20,"        Other nonresidential structures",102.2,107.7,119.8,110.0,100.9,130.3,183.4,206.6
