movie_id,title,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,genre_str,pseudo_plot,tokens,tokens_genre_only,overview,keywords,cast,director,success
1,Toy Story (1995),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Animation Children's Comedy,Toy Story (1995) Animation Children's Comedy,"{""Children's"", 'story', 'Animation', 'Comedy', 'toy'}","{'Animation', 'Comedy', ""Children's""}","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",rescue friendship mission jealousy villain bullying elementary school rivalry anthropomorphism friends computer animation buddy walkie talkie toy car boy next door new toy neighborhood toy comes to life resourcefulness toy,Tom Hanks Tim Allen Don Rickles,John Lasseter,True
2,GoldenEye (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Action Adventure Thriller,GoldenEye (1995) Action Adventure Thriller,"{'goldeneye', 'Thriller', 'Adventure', 'Action'}","{'Thriller', 'Adventure', 'Action'}","When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.","computer virus cuba falsely accused secret intelligence service secret identity secret base kgb satellite special car cossack electromagnetic pulse time bomb st. petersburg, russia red army",Pierce Brosnan Sean Bean Izabella Scorupco,Martin Campbell,True
3,Four Rooms (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Thriller,Four Rooms (1995) Thriller,"{'rooms', 'Thriller', 'four'}",{'Thriller'},It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"hotel new year's eve witch bet sperm hotel room anthology los angeles, california hoodlum multiple storylines woman director",Tim Roth Jennifer Beals Antonio Banderas,Allison Anders,True
4,Get Shorty (1995),0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Action Comedy Drama,Get Shorty (1995) Action Comedy Drama,"{'Drama', 'get', 'Action', 'Comedy', 'shorty'}","{'Comedy', 'Drama', 'Action'}","Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","based on novel or book miami, florida gambling gangster money murder travel mobster mafia business debt hollywood drugs producer con",John Travolta Gene Hackman Rene Russo,Barry Sonnenfeld,True
5,Copycat (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Crime Drama Thriller,Copycat (1995) Crime Drama Thriller,"{'Crime', 'Thriller', 'Drama', 'copycat'}","{'Crime', 'Thriller', 'Drama'}",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,police brutality psychology police operation police protection psychologist serial killer cowardliness,Sigourney Weaver Holly Hunter Dermot Mulroney,Jon Amiel,True
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Drama,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995) Drama,"{'triad', 'shanghai', 'Drama'}",{'Drama'},"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.","shanghai, china chinese mafia coming of age mistress criminal underworld drug lord triad modern china nightclub singer 1930s cabaret singer chinese triad",Gong Li Li Baotian Sun Chun,Zhang Yimou,True
7,Twelve Monkeys (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Drama Sci-Fi,Twelve Monkeys (1995) Drama Sci-Fi,"{'twelve', 'monkeys', 'Drama', 'Sci-Fi'}","{'Drama', 'Sci-Fi'}","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.","biological weapon philadelphia, pennsylvania schizophrenia stockholm syndrome airplane world war i underground insanity asylum paranoia prison cell dystopia pimp lion post-apocalyptic future time travel florida keys mental breakdown melancholy past dormitory insane asylum cockroach volunteer drug use flashback remake psychiatric hospital jail mental institution alternate history disease lethal virus paradox psychiatrist monkey epidemic trapped falling down stairs street life nonlinear timeline medical research tooth pantyhose gas mask psychosis child's point of view subterranean virus mysterious recurring dream 1990s reflective escaped animal future noir 2030s inspirational suspenseful critical intense complicated ominous",Bruce Willis Madeleine Stowe Brad Pitt,Terry Gilliam,True
8,Babe (1995),0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Children's Comedy Drama,Babe (1995) Children's Comedy Drama,"{'Comedy', ""Children's"", 'Drama', 'babe'}","{'Comedy', ""Children's"", 'Drama'}","Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",farm sheep pig alarm clock cat duck heroism affection piglet anthropomorphism based on children's book dog separation farmer grandson sheepdog talking pig christmas,Christine Cavanaugh Miriam Margolyes Danny Mann,Chris Noonan,True
9,Dead Man Walking (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Drama,Dead Man Walking (1995) Drama,"{'dead', 'Drama', 'walking', 'man'}",{'Drama'},A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,prison death penalty right and justice rape rage and hate unsociability court case court nun penalty therapist sentence forgiveness self-discovery despair prison cell socially deprived family death row doomed man death sentence lethal injection charity mercy petition cowardliness angry dreary incredulous depressing bitter callous horrified,Susan Sarandon Sean Penn Robert Prosky,Tim Robbins,True
10,Richard III (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Drama War,Richard III (1995) Drama War,"{'richard', 'War', 'Drama', 'iii'}","{'War', 'Drama'}","A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",england kidnapping murder king,Ian McKellen Annette Bening Jim Broadbent,Richard Loncraine,True
