epochs,k,lr,reg,train_rmse,val_rmse
50,100,0.005,0.005,0.7201342939537831,0.8709862530104012
50,100,0.005,0.02,0.7596701688466073,0.8732631562205421
50,50,0.005,0.005,0.7690835300740119,0.8747496975770525
50,50,0.005,0.02,0.7888623304059876,0.8749956511119327
50,20,0.01,0.05,0.6827274548466987,0.8755841968739753
50,20,0.005,0.005,0.7998830312120273,0.8766862751882186
50,100,0.005,0.05,0.8071484155018108,0.8769367107357199
20,100,0.01,0.005,0.8042852806228444,0.8780502598057467
50,50,0.01,0.05,0.618580397123959,0.878184043269102
50,10,0.005,0.005,0.8149680206256865,0.8784728152180363
50,20,0.005,0.02,0.8176856615737735,0.879258225184898
50,10,0.01,0.05,0.7312435838333045,0.8796015159305708
20,50,0.01,0.005,0.8293143803870332,0.8818220447028766
50,10,0.005,0.02,0.8288734434394458,0.8819157062575624
50,100,0.01,0.05,0.5644662385299969,0.8825810547527541
50,50,0.005,0.05,0.8286376555187716,0.8826689710762315
20,100,0.01,0.02,0.824708161879784,0.8829987470660843
50,20,0.005,0.05,0.8401952932392383,0.884754467729188
20,100,0.01,0.05,0.8479103718918272,0.8880293678449671
50,10,0.005,0.05,0.8505816028968575,0.8887844086607763
20,50,0.01,0.02,0.8443670464692195,0.8888919143728429
20,50,0.01,0.05,0.8537494718749086,0.8890541820099531
20,10,0.01,0.02,0.8555503702464581,0.8893034025468227
20,20,0.01,0.005,0.8536978735512466,0.8909838355475834
20,10,0.01,0.005,0.8601216276170208,0.8931523719630287
20,20,0.01,0.05,0.8635891804897203,0.8940711026573182
20,20,0.01,0.02,0.8610984344752877,0.8943687141898105
20,10,0.01,0.05,0.8651823803760386,0.8944985514985281
10,50,0.01,0.05,0.8694126377642933,0.8961041024020217
10,50,0.01,0.02,0.8684710607279541,0.8961252091322962
10,100,0.01,0.02,0.867112591281273,0.8963142332587377
20,100,0.005,0.005,0.862164230330953,0.896515401661188
10,10,0.01,0.05,0.8701251984722447,0.8966188040262759
